Genotype,Environment,Yield,Biomass,Quality
G1,Env1,50.93708525434896,43.98811089398263,95.23029856408026
G1,Env2,53.36099204803327,50.58485771596357,87.67434729152909
G1,Env3,47.761817016539005,35.892365149168896,75.34270246429743
G1,Env4,51.07276583606691,32.23362350628836,74.37712470759027
G2,Env1,53.21849596937783,38.034676397896206,65.87696298664709
G2,Env2,63.49384110481852,51.13271390729444,65.75251813786544
G2,Env3,50.81054218526391,34.89346586109962,83.75698018345672
G2,Env4,60.03130893107048,45.0165140837094,98.52278184508938
G3,Env1,40.72866460996259,36.69565624848602,67.79156350028978
G3,Env2,42.787910289495166,27.58939798710398,81.96861235869123
G3,Env3,36.95386631998164,30.419934461935167,78.8435171761176
G3,Env4,46.182600951762424,33.346859719436395,75.39361229040213
G4,Env1,64.5458398369306,42.82147109273081,83.24083969394795
G4,Env2,61.13706515752721,51.968033570226105,90.30999522495951
G4,Env3,56.43697026445804,43.60351433231036,83.31263431403563
G4,Env4,81.90218050848944,63.12587321756511,78.14341023336183
G5,Env1,43.89616858165924,39.179563977298386,93.56240028570824
G5,Env2,60.79810122682709,50.44666110669985,73.54880245394875
G5,Env3,56.236333082389116,44.80993627036153,95.64643655814007
G5,Env4,55.42837470523166,44.77793510537619,77.00992649534132
